,任务ID,状态,URL,文件路径,创建时间,更新时间
0,6,✅,https://sns-video-bd.xhscdn.com/spectrum/1040g0jg31d1n8vqj08005p6kjoo0bppod1lq6bo,,2025-04-03 02:26:43,2025-04-03 02:30:39
1,7,✅,https://sns-video-bd.xhscdn.com/spectrum/1040g35831cv464gu080g5p6kjoo0bppo2dr85i0,,2025-04-03 02:26:43,2025-04-03 02:34:28
2,8,✅,https://sns-video-bd.xhscdn.com/spectrum/1040g35831d1i1uga12005p6kjoo0bppo42toll8,,2025-04-03 02:26:43,2025-04-03 02:33:47
3,9,✅,https://ci.xiaohongshu.com/spectrum/1040g34o31djajsd7gc0g5p6kjoo0bppopn16s2g?imageView2/format/png,/Volumes/Travors1TWDSSD/Dev/Pic_2_txt/data/downloads/1040g34o31djajsd7gc0g5p6kjoo0bppopn16s2g_1743647204.png,2025-04-03 02:26:43,2025-04-03 02:27:07
4,10,✅,https://ci.xiaohongshu.com/spectrum/1040g34o31djam6thh2005p6kjoo0bppoqa1j5m0?imageView2/format/png,/Volumes/Travors1TWDSSD/Dev/Pic_2_txt/data/downloads/1040g34o31djam6thh2005p6kjoo0bppoqa1j5m0_1743647206.png,2025-04-03 02:26:43,2025-04-03 02:27:56
5,11,✅,https://ci.xiaohongshu.com/spectrum/1040g34o31djbbehg120g5p6kjoo0bppos7l1o0g?imageView2/format/png,/Volumes/Travors1TWDSSD/Dev/Pic_2_txt/data/downloads/1040g34o31djbbehg120g5p6kjoo0bppos7l1o0g_1743647205.png,2025-04-03 02:26:43,2025-04-03 02:27:32
6,12,✅,https://ci.xiaohongshu.com/spectrum/1040g0k031djb7ltd08005p6kjoo0bppogqo0kfo?imageView2/format/png,/Volumes/Travors1TWDSSD/Dev/Pic_2_txt/data/downloads/1040g0k031djb7ltd08005p6kjoo0bppogqo0kfo_1743647206.png,2025-04-03 02:26:43,2025-04-03 02:27:25
7,13,✅,https://sns-video-bd.xhscdn.com/spectrum/1040g0jg31diec152ge005p6kjoo0bppop0mupp8,,2025-04-03 02:26:43,2025-04-03 02:35:19
8,14,✅,https://sns-video-bd.xhscdn.com/spectrum/1040g35831dnj8nr0g80g5p6kjoo0bppo2flffig,,2025-04-03 02:26:43,2025-04-03 02:31:32
9,15,✅,https://sns-video-bd.xhscdn.com/spectrum/1040g35831d1lds1sh60g5p6kjoo0bppoh0tghe0,,2025-04-03 02:26:43,2025-04-03 02:35:21
10,16,✅,https://sns-video-bd.xhscdn.com/spectrum/1040g35831djp33us160g5p6kjoo0bppoeljee38,,2025-04-03 02:26:43,2025-04-03 02:35:03
11,17,✅,https://sns-video-bd.xhscdn.com/spectrum/1040g35831e0itu62gc105p6kjoo0bppotj4vmqg,,2025-04-03 02:26:43,2025-04-03 02:35:30
12,18,✅,https://sns-video-bd.xhscdn.com/spectrum/1040g0jg31doq23pf08005p6kjoo0bppokmd2r78,,2025-04-03 02:26:43,2025-04-03 02:37:10
13,19,✅,https://sns-video-bd.xhscdn.com/spectrum/1040g35031e1ohvkq12105p6kjoo0bppoepht1a0,,2025-04-03 02:26:43,2025-04-03 02:39:05
14,20,✅,https://sns-video-bd.xhscdn.com/spectrum/1040g35031dpvuld90c005p6kjoo0bppob4nq8i0,,2025-04-03 02:26:43,2025-04-03 02:37:51
15,21,✅,https://ci.xiaohongshu.com/spectrum/1040g34o31drb646ege0g5p6kjoo0bppola98p98?imageView2/format/png,/Volumes/Travors1TWDSSD/Dev/Pic_2_txt/data/downloads/1040g34o31drb646ege0g5p6kjoo0bppola98p98_1743647205.png,2025-04-03 02:26:43,2025-04-03 02:26:52
16,22,✅,https://ci.xiaohongshu.com/spectrum/1040g0k031drb65rfh6005p6kjoo0bppori6n9io?imageView2/format/png,/Volumes/Travors1TWDSSD/Dev/Pic_2_txt/data/downloads/1040g0k031drb65rfh6005p6kjoo0bppori6n9io_1743647212.png,2025-04-03 02:26:43,2025-04-03 02:27:14
17,23,✅,https://ci.xiaohongshu.com/spectrum/1040g34o31drb67hu080g5p6kjoo0bppob7lk7ko?imageView2/format/png,/Volumes/Travors1TWDSSD/Dev/Pic_2_txt/data/downloads/1040g34o31drb67hu080g5p6kjoo0bppob7lk7ko_1743647227.png,2025-04-03 02:26:43,2025-04-03 02:27:45
18,24,✅,https://ci.xiaohongshu.com/spectrum/1040g34o31drb690i0c0g5p6kjoo0bppo65v8cpg?imageView2/format/png,/Volumes/Travors1TWDSSD/Dev/Pic_2_txt/data/downloads/1040g34o31drb690i0c0g5p6kjoo0bppo65v8cpg_1743647235.png,2025-04-03 02:26:43,2025-04-03 02:27:21
19,25,✅,https://ci.xiaohongshu.com/spectrum/1040g0k031drb6aing8005p6kjoo0bppokvd1pmo?imageView2/format/png,/Volumes/Travors1TWDSSD/Dev/Pic_2_txt/data/downloads/1040g0k031drb6aing8005p6kjoo0bppokvd1pmo_1743647242.png,2025-04-03 02:26:43,2025-04-03 02:29:21
20,26,✅,https://ci.xiaohongshu.com/spectrum/1040g34o31e5c5nsb0c005p6kjoo0bppo6te0ko8?imageView2/format/png,/Volumes/Travors1TWDSSD/Dev/Pic_2_txt/data/downloads/1040g34o31e5c5nsb0c005p6kjoo0bppo6te0ko8_1743647245.png,2025-04-03 02:26:43,2025-04-03 02:27:57
21,27,✅,https://ci.xiaohongshu.com/spectrum/1040g34o31e5cccpn0e1g5p6kjoo0bppok5ee4uo?imageView2/format/png,/Volumes/Travors1TWDSSD/Dev/Pic_2_txt/data/downloads/1040g34o31e5cccpn0e1g5p6kjoo0bppok5ee4uo_1743647253.png,2025-04-03 02:26:43,2025-04-03 02:27:43
22,28,✅,https://ci.xiaohongshu.com/spectrum/1040g0k031e5cd4ot0e005p6kjoo0bppopuof8kg?imageView2/format/png,/Volumes/Travors1TWDSSD/Dev/Pic_2_txt/data/downloads/1040g0k031e5cd4ot0e005p6kjoo0bppopuof8kg_1743647264.png,2025-04-03 02:26:43,2025-04-03 02:28:51
